id,created_at,text,favorite_count,retweet_count
943838486540537856,2017-12-21,"b'#ICYMI: From showcasing our work at the White House and CONEXPO, to introducing our new enterprise strategy, check\xe2\x80\xa6 https://t.co/WTfLb2QLpJ'",34,11
943686239668064257,2017-12-21,"b'#ICYMI: From showcasing our work at the White House and CONEXPO, to introducing our new enterprise strategy, check\xe2\x80\xa6 https://t.co/kQZtpgOOS7'",38,16
943549088481636353,2017-12-20,"b'#ICYMI: The Caterpillar Podcast gives you the dirt on the company, the people and of course the yellow iron.\xc2\xa0Catch\xe2\x80\xa6 https://t.co/5V33qRiSrE'",20,4
943524166883475457,2017-12-20,"b""#ICYMI: Catch up on stories about this year's biggest Caterpillar milestones and anniversaries.\xe2\x80\xa6 https://t.co/usQifuvgge""",18,6
943293646559956994,2017-12-20,"b'#ICYMI: From showcasing our work at the White House and CONEXPO, to introducing our new enterprise strategy, check\xe2\x80\xa6 https://t.co/pVPphAANah'",56,7
943253383141560320,2017-12-19,b'#ICYMI: We\xe2\x80\x99ve rounded up our top stories of 2017 ... in case you missed them when they were first published.\xe2\x80\xa6 https://t.co/oBlj13IWEg',16,4
943157750468694016,2017-12-19,"b'#ICYMI: From showcasing our work at the White House and CONEXPO, to introducing our new enterprise strategy, check\xe2\x80\xa6 https://t.co/BV35MHbrdL'",25,13
942768943806152704,2017-12-18,b'SEM service engineer Shi Qing knows firsthand what it takes to deliver a superior customer experience. See his stor\xe2\x80\xa6 https://t.co/sM3zyDtaSY',22,3
942748971520462848,2017-12-18,b'@CajunBwana Please send us a DM with your contact info and we\xe2\x80\x99ll forward your request to our On-Highway Truck Engine team for assistance.',0,0
942205228656586752,2017-12-17,b'Still looking for the perfect gift for a little Cat fan? Check out the list from @CompactEquip (including 2 Cat toy\xe2\x80\xa6 https://t.co/9nrdcEwbRV',33,10
941861716152987648,2017-12-16,b'SEM service engineer Shi Qing knows firsthand what it takes to deliver a superior customer experience. See his stor\xe2\x80\xa6 https://t.co/QxSV9TI17U',32,7
941737145559117825,2017-12-15,"b""The Caterpillar P-5000 Work Loader made @verge's list of 18 suits of power armor from science fiction you don\xe2\x80\x99t wan\xe2\x80\xa6 https://t.co/6kYOcexNSq""",22,8
941437670974214146,2017-12-14,b'SEM service engineer Shi Qing knows firsthand what it takes to deliver a superior customer experience. See his stor\xe2\x80\xa6 https://t.co/5FSe88pXwy',22,5
941291722528706560,2017-12-14,b'Still looking for the perfect gift for a little Cat fan? Check out the list from @CompactEquip (including 2 Cat toy\xe2\x80\xa6 https://t.co/ofe0U3D8Hx',20,9
941125617537437697,2017-12-14,"b""The Caterpillar P-5000 Work Loader made @verge's list of 18 suits of power armor from science fiction you don\xe2\x80\x99t wan\xe2\x80\xa6 https://t.co/IfU9WKgDPf""",35,14
941043824448671745,2017-12-13,b'SEM service engineer Shi Qing knows firsthand what it takes to deliver a superior customer experience. See his stor\xe2\x80\xa6 https://t.co/YHbdSpjiiw',17,1
940689994074779648,2017-12-12,b'Still looking for the perfect gift for a little Cat fan? Check out the list from @CompactEquip (including 2 Cat toy\xe2\x80\xa6 https://t.co/DrX6K77G1b',56,14
940666137645379584,2017-12-12,"b""We're looking forward to another season with @RyanJNewman! https://t.co/4hcSowFveg""",74,6
940358665827176448,2017-12-11,"b""@donttrythis @AndrewLiptak @verge It's our favorite too!""",3,0
