id,created_at,text,favorite_count,retweet_count
938562457076891648,2017-12-07,b'.@Caitlyn_Jenner shares her incredible story on INDUSTRY STANDARD with @BarryKatz.\nhttps://t.co/tuAqfexAG7 https://t.co/E0PdRrDnpT',6,2
938499543502610432,2017-12-06,"b""If are looking for your first podcast or have been listening for years, @EW's 10 Best Podcasts of 2017 has somethin\xe2\x80\xa6 https://t.co/xoIhaaKOfs""",30,5
938477099001765894,2017-12-06,"b'.@birbigs is celebrating his new comedy tour with a podcast, The Old Ones!\nSpecial guests include @mulaney\xe2\x80\xa6 https://t.co/ofDl0NWeTL'",76,17
938173649202438144,2017-12-05,b'Actress @jessicaalba co-founded @Honest in 2011. Hear her remarkable story on #BossFiles with @PoppyHarlowCNN.\xe2\x80\xa6 https://t.co/eBP5pgTLmi',27,4
938113252340518912,2017-12-05,b'What happens when a dog and a cat have competing podcasts? \xf0\x9f\x90\xb6\xf0\x9f\x8e\x99\xf0\x9f\x90\xb1\nFind out on This Podcast Has Fleas by @WNYCKids star\xe2\x80\xa6 https://t.co/gNtqvmh5tS',14,2
937833914558709760,2017-12-05,"b""Listen to all of @EW's 10 Best Podcasts of 2017 for free and find your new favorite on Apple Podcasts.\xe2\x80\xa6 https://t.co/Any0dptkE5""",12,7
937830131824984064,2017-12-04,"b'""Minnesota Public Radio\'s podcast delivered a staggering second-by-second account of the tragic event that added to\xe2\x80\xa6 https://t.co/7z09k6fuc2'",18,8
937828872959217664,2017-12-04,"b'""A fascinating examination of the hip-hop industry and the culture of fame, masculinity, and violence that lie at t\xe2\x80\xa6 https://t.co/ABme8cdE0N'",6,2
937827617151049728,2017-12-04,"b'""This podcast hosted by two real-life best friends is refreshing for its scope.""\n@NancyPodcast is #8 on @EW\'s 10 Be\xe2\x80\xa6 https://t.co/4Ky5nCGjf7'",17,4
937826355806441473,2017-12-04,"b'""It\xe2\x80\x99s a gorgeously wrought, two-person musical, the best of a new generation of podcasts exploring what the format\xe2\x80\xa6 https://t.co/KISN3sP6pb'",4,0
937825097792000000,2017-12-04,"b'""It begins with a dead body\xe2\x80\x94and what unspools from there could rival any Lifetime Original Movie.""\n@realdirtyjohn i\xe2\x80\xa6 https://t.co/tDKtWQO5rp'",29,8
937823840180240389,2017-12-04,"b'""@ESPN\xe2\x80\x99s acclaimed documentary series joined the podcast world this year and did not disappoint.""\n@30for30 Podcasts\xe2\x80\xa6 https://t.co/nBEq6MPlpD'",10,2
937822580995776514,2017-12-04,"b'""It\xe2\x80\x99s a thrilling look inside the practice of newsgathering, with a side of heart, all before your first cup of cof\xe2\x80\xa6 https://t.co/fOQahb1pQv'",6,0
